of hosts,hosts,the truth,
0.000000,0.000000,0.026134,
0.000000,0.030596,0.000000,
0.000000,0.000000,0.000000,
0.000000,0.091205,0.000000,
0.000000,0.000000,0.000000,
0.000000,0.106090,0.000000,
0.000000,0.105452,0.000000,
0.000000,0.000000,0.000000,
0.199625,0.000000,0.000000,
0.291276,0.000000,0.000000,
0.199555,0.028508,0.000000,
0.160280,0.029142,0.000000,
0.147312,0.000000,0.000000,
0.000000,0.000000,0.038360,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,
0.351412,0.070282,0.117137,
0.000000,0.000000,0.066498,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,
1.673956,0.000000,0.026999,
1.922446,0.023444,0.093778,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.344738,
0.193274,0.000000,0.000000,
0.000000,0.000000,0.000000,
2.134725,0.000000,0.000000,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,
0.317259,0.000000,0.317259,
1.557632,0.000000,0.000000,
0.677966,0.000000,0.000000,
1.236858,0.000000,0.000000,
11.504425,0.000000,0.000000,
8.070774,0.000000,0.310414,
13.475576,0.000000,0.000000,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.131874,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.628470,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.742942,
0.000000,0.000000,0.105686,
0.000000,0.000000,0.824402,
0.000000,0.000000,1.621271,
0.000000,0.000000,0.661813,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.505306,
0.000000,0.000000,0.000000,
0.000000,0.000000,2.935421,
0.000000,0.000000,2.228164,
0.000000,0.000000,3.001200,
0.000000,0.000000,2.232143,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.144991,
0.000000,0.000000,0.868056,
0.000000,0.000000,0.404040,
0.000000,0.000000,0.000000,
0.000000,0.000000,2.384738,
0.000000,0.000000,6.711409,
0.000000,0.000000,17.006803,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,
