of hosts,hosts,the truth,lord of,david,sons of,the father,beloved,brethren,saith the,
0.000000,0.000000,0.026134,0.104537,0.000000,2.012335,0.339745,0.000000,2.090738,0.026134,
0.000000,0.030596,0.000000,0.000000,0.000000,0.336556,0.000000,0.000000,0.122384,0.305960,
0.000000,0.000000,0.000000,0.081500,0.000000,0.448248,0.000000,0.000000,0.203749,0.000000,
0.000000,0.091205,0.000000,0.182410,0.000000,2.006506,0.121606,0.000000,0.395221,0.030402,
0.000000,0.000000,0.000000,0.035272,0.000000,0.211633,0.070544,0.141088,0.705442,0.000000,
0.000000,0.106090,0.000000,0.106090,0.000000,0.106090,0.318269,0.000000,0.636537,0.159134,
0.000000,0.105452,0.000000,0.000000,0.000000,0.369082,0.158178,0.000000,0.949067,0.052726,
0.000000,0.000000,0.000000,0.000000,0.388500,0.000000,0.777001,0.000000,0.388500,0.000000,
0.199625,0.000000,0.000000,0.239550,11.059209,0.319400,0.079850,0.000000,0.319400,0.159700,
0.291276,0.000000,0.000000,0.242730,13.010340,0.679645,0.000000,0.000000,0.242730,0.242730,
0.199555,0.028508,0.000000,0.171047,8.837448,0.441872,0.028508,0.000000,0.213809,0.342095,
0.160280,0.029142,0.000000,0.131138,5.216378,0.480839,0.000000,0.000000,0.160280,0.728544,
0.147312,0.000000,0.000000,0.245519,8.887798,11.686717,1.718635,0.000000,3.780997,0.196415,
0.000000,0.000000,0.038360,0.038360,2.800261,0.958993,0.000000,0.000000,0.805554,0.383597,
0.000000,0.000000,0.000000,0.000000,0.403226,4.704301,0.000000,0.000000,1.612903,0.000000,
0.000000,0.000000,0.000000,0.000000,0.763359,0.763359,0.000000,0.095420,2.385496,0.000000,
0.000000,0.000000,0.000000,0.000000,0.000000,0.355240,0.000000,0.000000,0.177620,0.000000,
0.000000,0.000000,0.000000,0.000000,0.000000,0.165764,0.000000,0.000000,0.221019,0.000000,
0.351412,0.070282,0.117137,0.234274,0.281129,0.187419,0.000000,0.070282,0.093710,0.023427,
0.000000,0.000000,0.066498,0.000000,0.066498,0.132996,0.132996,0.066498,0.199495,0.066498,
0.000000,0.000000,0.000000,0.000000,0.179244,1.613192,0.000000,0.000000,0.000000,0.537731,
0.000000,0.000000,0.000000,0.000000,0.376223,0.000000,0.000000,11.662904,0.000000,0.000000,
1.673956,0.000000,0.026999,1.457962,0.242994,0.161996,0.026999,0.026999,0.053999,2.348939,
1.922446,0.023444,0.093778,1.758335,0.328222,0.187556,0.000000,0.046889,0.140667,7.736672,
0.000000,0.000000,0.000000,0.000000,0.000000,0.293169,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.025380,0.101520,0.101520,0.101520,0.000000,0.050760,5.329814,
0.000000,0.000000,0.344738,0.172369,0.000000,0.172369,0.000000,0.258554,0.000000,0.000000,
0.193274,0.000000,0.000000,0.000000,0.193274,0.193274,0.000000,0.386548,0.386548,0.773096,
0.000000,0.000000,0.000000,0.000000,0.000000,0.491884,0.000000,0.000000,0.000000,0.491884,
2.134725,0.000000,0.000000,0.000000,0.474383,0.000000,0.000000,0.000000,0.000000,10.199241,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.484305,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.317259,0.000000,0.317259,0.634518,0.000000,0.317259,0.317259,0.000000,0.317259,1.269036,
1.557632,0.000000,0.000000,1.557632,0.000000,0.000000,0.000000,0.000000,0.000000,2.336449,
0.677966,0.000000,0.000000,0.677966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.236858,0.000000,0.000000,1.236858,0.000000,0.000000,0.000000,0.000000,0.000000,3.710575,
11.504425,0.000000,0.000000,12.389381,0.000000,0.000000,0.000000,0.000000,0.000000,16.814159,
8.070774,0.000000,0.310414,8.536396,0.931243,0.000000,0.000000,0.000000,0.000000,6.518702,
13.475576,0.000000,0.000000,13.475576,0.000000,1.122965,0.000000,0.000000,0.000000,14.037058,
0.000000,0.000000,0.000000,0.253336,0.717784,0.042223,0.168890,0.126668,0.675562,0.000000,
0.000000,0.000000,0.131874,0.065937,0.461559,0.197811,0.329685,0.131874,0.461559,0.000000,
0.000000,0.000000,0.000000,0.192760,0.462624,0.038552,0.231312,0.115656,0.385520,0.038552,
0.000000,0.000000,0.628470,0.000000,0.104745,0.104745,3.613701,0.000000,0.314235,0.104745,
0.000000,0.000000,0.000000,0.082488,0.453683,0.082488,0.206220,0.041244,2.185928,0.164976,
0.000000,0.000000,0.742942,0.106135,0.318404,0.212269,0.636807,0.849077,1.485884,0.424538,
0.000000,0.000000,0.105686,0.105686,0.000000,0.000000,0.211372,0.422744,2.959205,0.211372,
0.000000,0.000000,0.824402,0.000000,0.000000,0.000000,0.329761,0.329761,1.319044,0.329761,
0.000000,0.000000,1.621271,0.324254,0.000000,0.000000,0.972763,0.000000,3.566796,0.324254,
0.000000,0.000000,0.661813,0.000000,0.000000,0.330907,1.654533,0.661813,0.661813,0.000000,
0.000000,0.000000,0.000000,0.000000,0.000000,0.458085,0.916170,1.374256,3.664682,0.000000,
0.000000,0.000000,0.505306,0.000000,0.000000,0.000000,2.526529,2.021223,1.010611,0.000000,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.544366,0.544366,9.254219,0.000000,
0.000000,0.000000,2.935421,0.978474,0.000000,0.000000,0.000000,0.978474,6.849315,0.000000,
0.000000,0.000000,2.228164,0.445633,0.000000,0.000000,0.000000,0.445633,1.336898,0.000000,
0.000000,0.000000,3.001200,0.000000,0.600240,0.000000,0.600240,0.600240,0.600240,0.000000,
0.000000,0.000000,2.232143,0.000000,0.000000,0.000000,1.116071,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.976744,0.000000,0.000000,
0.000000,0.000000,0.144991,0.000000,0.289981,0.289981,0.289981,0.144991,1.159925,0.724953,
0.000000,0.000000,0.868056,0.868056,0.000000,0.000000,1.302083,1.302083,6.510417,0.000000,
0.000000,0.000000,0.404040,0.000000,0.000000,0.000000,0.808081,0.808081,1.212121,0.000000,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.643915,3.863490,0.643915,0.000000,
0.000000,0.000000,2.384738,0.000000,0.000000,0.794913,5.166932,1.987281,1.589825,0.000000,
0.000000,0.000000,6.711409,0.000000,0.000000,0.000000,13.422819,0.000000,0.000000,0.000000,
0.000000,0.000000,17.006803,0.000000,0.000000,0.000000,0.000000,10.204082,10.204082,0.000000,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.644737,4.934211,0.000000,0.000000,
