of hosts,hosts,the truth,lord of,david,
0.000000,0.000000,0.026134,0.104537,0.000000,
0.000000,0.030596,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.081500,0.000000,
0.000000,0.091205,0.000000,0.182410,0.000000,
0.000000,0.000000,0.000000,0.035272,0.000000,
0.000000,0.106090,0.000000,0.106090,0.000000,
0.000000,0.105452,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,0.388500,
0.199625,0.000000,0.000000,0.239550,11.059209,
0.291276,0.000000,0.000000,0.242730,13.010340,
0.199555,0.028508,0.000000,0.171047,8.837448,
0.160280,0.029142,0.000000,0.131138,5.216378,
0.147312,0.000000,0.000000,0.245519,8.887798,
0.000000,0.000000,0.038360,0.038360,2.800261,
0.000000,0.000000,0.000000,0.000000,0.403226,
0.000000,0.000000,0.000000,0.000000,0.763359,
0.000000,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,0.000000,
0.351412,0.070282,0.117137,0.234274,0.281129,
0.000000,0.000000,0.066498,0.000000,0.066498,
0.000000,0.000000,0.000000,0.000000,0.179244,
0.000000,0.000000,0.000000,0.000000,0.376223,
1.673956,0.000000,0.026999,1.457962,0.242994,
1.922446,0.023444,0.093778,1.758335,0.328222,
0.000000,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.025380,0.101520,
0.000000,0.000000,0.344738,0.172369,0.000000,
0.193274,0.000000,0.000000,0.000000,0.193274,
0.000000,0.000000,0.000000,0.000000,0.000000,
2.134725,0.000000,0.000000,0.000000,0.474383,
0.000000,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,0.000000,
0.317259,0.000000,0.317259,0.634518,0.000000,
1.557632,0.000000,0.000000,1.557632,0.000000,
0.677966,0.000000,0.000000,0.677966,0.000000,
1.236858,0.000000,0.000000,1.236858,0.000000,
11.504425,0.000000,0.000000,12.389381,0.000000,
8.070774,0.000000,0.310414,8.536396,0.931243,
13.475576,0.000000,0.000000,13.475576,0.000000,
0.000000,0.000000,0.000000,0.253336,0.717784,
0.000000,0.000000,0.131874,0.065937,0.461559,
0.000000,0.000000,0.000000,0.192760,0.462624,
0.000000,0.000000,0.628470,0.000000,0.104745,
0.000000,0.000000,0.000000,0.082488,0.453683,
0.000000,0.000000,0.742942,0.106135,0.318404,
0.000000,0.000000,0.105686,0.105686,0.000000,
0.000000,0.000000,0.824402,0.000000,0.000000,
0.000000,0.000000,1.621271,0.324254,0.000000,
0.000000,0.000000,0.661813,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.505306,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,2.935421,0.978474,0.000000,
0.000000,0.000000,2.228164,0.445633,0.000000,
0.000000,0.000000,3.001200,0.000000,0.600240,
0.000000,0.000000,2.232143,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.144991,0.000000,0.289981,
0.000000,0.000000,0.868056,0.868056,0.000000,
0.000000,0.000000,0.404040,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,2.384738,0.000000,0.000000,
0.000000,0.000000,6.711409,0.000000,0.000000,
0.000000,0.000000,17.006803,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.166736,0.250104,
