saith the,the king,saith,love,children of,the children,jesus christ,faith,he that,jesus,
0.026134,0.339745,0.130671,0.078403,0.705624,0.888564,0.000000,0.000000,0.209074,0.000000,
0.305960,0.244768,0.336556,0.061192,3.763309,3.824501,0.000000,0.000000,0.336556,0.000000,
0.000000,0.000000,0.000000,0.081500,2.322738,2.322738,0.000000,0.000000,1.222494,0.000000,
0.030402,0.121606,0.152008,0.000000,7.813213,7.843614,0.000000,0.000000,0.364819,0.000000,
0.000000,0.246905,0.000000,0.564354,1.340341,1.446157,0.000000,0.035272,0.634898,0.000000,
0.159134,3.182686,0.212179,0.106090,9.548059,9.388924,0.000000,0.000000,0.265224,0.000000,
0.052726,0.738163,0.105452,0.105452,6.854371,6.854371,0.000000,0.000000,0.210904,0.000000,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.388500,0.000000,
0.159700,1.796622,0.319400,0.039925,0.638799,0.638799,0.000000,0.000000,0.159700,0.000000,
0.242730,9.903393,0.339822,0.194184,1.359289,1.359289,0.000000,0.000000,0.194184,0.000000,
0.342095,5.658817,0.498888,0.085524,0.997776,0.983522,0.000000,0.000000,0.142539,0.000000,
0.728544,7.547720,0.859682,0.072854,1.136529,1.136529,0.000000,0.000000,0.145709,0.000000,
0.196415,1.178493,0.196415,0.000000,2.848024,2.700712,0.000000,0.000000,0.049104,0.000000,
0.383597,4.986766,0.537036,0.038360,1.572749,1.572749,0.000000,0.000000,0.000000,0.000000,
0.000000,5.376344,0.134409,0.000000,14.784946,14.784946,0.000000,0.000000,0.000000,0.000000,
0.000000,2.003817,0.095420,0.095420,10.209924,10.496183,0.000000,0.000000,0.095420,0.000000,
0.000000,20.248668,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.177620,0.000000,
0.000000,0.055255,0.331528,0.000000,0.165764,0.055255,0.000000,0.000000,0.884076,0.000000,
0.023427,0.351412,0.070282,0.538831,0.585686,0.515404,0.000000,0.000000,0.819960,0.000000,
0.066498,0.531986,0.731480,1.063971,0.066498,0.066498,0.000000,0.000000,9.708738,0.000000,
