of,and,of the,for,in the,with,in,to,the,that,
35.673218,96.121681,9.748066,8.519757,7.709596,7.657328,15.654401,15.994146,46.780263,13.589797,
48.311100,78.570554,18.694162,11.810060,7.128870,8.260923,15.053237,14.533105,69.422347,13.278668,
43.194784,60.146699,20.008150,13.773431,7.090465,6.642217,15.281174,8.883456,72.127139,14.955175,
69.406865,68.373210,27.027027,11.187791,5.837108,5.168273,11.461405,13.255100,73.541483,12.495060,
35.131036,59.892067,11.181263,9.452929,6.243166,8.006772,16.577898,16.895348,58.974992,17.953511,
60.948440,80.521961,22.013579,8.964566,5.357522,10.661999,12.465521,19.361341,79.832379,14.640356,
50.300538,80.196140,15.554150,6.274386,5.167141,8.119793,15.395972,16.819572,63.323843,15.975957,
34.188034,74.203574,10.489510,8.935509,5.439005,6.993007,19.425019,18.648019,42.735043,17.871018,
35.972372,78.452509,12.935681,9.462211,4.192119,8.104763,14.213279,25.112788,57.811315,16.089751,
41.701053,75.392009,10.583038,8.738288,3.980776,7.767367,12.913248,21.554444,64.469149,15.340551,
41.849592,77.085353,13.641029,9.307828,5.316723,7.839672,15.408518,22.079366,61.634073,15.465534,
50.371558,76.890573,16.625382,8.247122,7.198018,7.270873,17.208218,21.142358,63.907912,15.080868,
75.227105,99.484410,21.949423,12.079548,4.517555,8.445863,12.374171,18.168426,78.860791,8.593175,
58.115002,78.982700,21.136215,11.009245,9.359776,9.589934,20.982776,24.665311,70.888795,12.812152,
86.290323,74.462366,27.284946,9.677419,5.376344,9.005376,12.231183,17.069892,79.032258,11.827957,
66.793893,76.240458,18.606870,9.160305,6.870229,4.770992,14.217557,15.648855,88.167939,14.599237,
37.300178,67.140320,16.518650,11.012433,7.104796,5.861456,17.229130,31.616341,84.191829,17.939609,
29.727042,47.795337,10.222124,10.608907,4.696652,8.509228,14.697757,12.542822,47.850591,13.758426,
32.329858,37.811878,9.909804,17.430011,7.285932,8.012182,20.077311,11.690289,50.368982,14.056460,
40.364410,35.909030,14.563107,10.174225,7.514297,8.312276,15.893071,18.420003,55.127012,21.212927,
32.084603,43.914680,6.990500,16.131923,5.018821,5.556551,17.745116,28.141244,52.876860,27.603513,
45.899172,28.592927,9.781791,7.148232,5.267118,13.920241,8.276900,10.158014,50.413845,12.791573,
41.119931,57.535504,13.013662,14.174631,5.696852,8.126789,15.173605,15.821589,62.746369,18.251525,
48.623810,55.328926,15.707788,12.167675,8.111783,6.236226,16.739344,17.513012,66.136822,15.262344,
39.284667,31.955438,14.365289,13.485781,10.847259,6.449721,18.469657,13.485781,52.184110,14.365289,
43.374534,61.572041,16.903124,8.629223,8.147001,7.766300,17.207685,13.578336,66.394254,15.811781,
42.058088,75.325347,17.754029,8.273722,5.946738,6.894769,16.030337,17.150737,67.741101,14.996122,
33.822961,51.797449,7.537688,15.268651,7.730963,7.924237,17.587940,14.688829,48.125242,8.310785,
39.350713,68.863748,14.756517,20.167241,5.410723,5.902607,14.264634,9.345794,85.095917,10.329562,
46.963947,57.637571,12.571157,12.808349,8.538899,6.641366,15.891841,12.571157,76.612903,16.366224,
61.285501,41.853513,14.947683,8.968610,16.442451,1.494768,25.411061,10.463378,59.790732,17.937220,
26.515152,64.393939,15.151515,14.393939,3.787879,3.787879,9.090909,23.484848,56.818182,19.696970,
52.664975,51.395939,16.180203,14.911168,7.614213,6.979695,18.083756,11.738579,59.327411,13.642132,
41.277259,57.632399,12.461059,10.903427,9.345794,4.672897,17.133956,3.115265,77.102804,10.124611,
33.898305,54.237288,14.237288,14.237288,6.101695,7.457627,13.559322,14.237288,64.406780,19.661017,
47.000618,44.526902,18.552876,13.605442,11.750155,6.184292,17.934447,11.750155,66.790353,24.118738,
62.831858,66.371681,21.238938,6.194690,12.389381,9.734513,21.238938,12.389381,92.920354,9.734513,
49.200683,69.067205,16.296756,10.554090,8.225982,7.294738,18.780071,14.899891,69.998448,19.400900,
40.426727,57.832678,11.229646,13.475576,2.807412,8.422235,14.037058,8.983717,66.254913,20.774846,
28.373586,65.529471,8.444520,11.273434,4.348928,5.826718,12.877892,15.917919,46.487080,16.382368,
25.583542,84.794936,7.714625,9.428986,4.681524,8.901490,11.275221,17.143611,44.969010,16.682052,
30.301862,73.634296,7.286326,10.370485,5.011758,6.977910,13.878715,20.972281,42.754154,18.235090,
24.824552,48.235048,7.122656,8.746203,3.613701,4.608778,11.783806,11.626689,43.678643,27.757411,
32.747670,72.218098,11.259589,8.207539,5.031758,9.981028,13.775468,23.715252,47.884187,16.043884,
39.588198,27.276587,10.825727,23.137338,3.926979,5.731267,17.087667,24.410953,48.609637,27.488856,
33.713803,30.331854,9.723103,18.917776,5.072923,7.715071,17.649546,18.812090,43.859649,27.901078,
38.417148,26.875515,7.914262,23.577906,5.441055,7.584501,30.832646,21.269580,35.449299,23.413026,
37.289235,24.319066,13.294423,16.861219,4.863813,6.485084,20.428016,19.779507,50.907912,23.670558,
52.614163,41.363336,14.890801,12.243547,10.919921,10.919921,34.745202,21.839841,53.937790,24.156188,
