of,and,of the,for,in the,with,in,to,the,that,
25.094103,121.706399,18.820577,7.528231,11.292346,0.000000,16.311167,13.801757,105.395232,17.565872,
60.126582,90.189873,31.645570,9.493671,6.329114,0.000000,9.493671,18.987342,79.113924,15.822785,
56.115108,80.575540,30.215827,8.633094,8.633094,2.877698,11.510791,14.388489,58.992806,10.071942,
39.556962,98.101266,17.405063,3.164557,6.329114,1.582278,11.075949,17.405063,39.556962,6.329114,
27.722772,190.099010,3.960396,1.980198,5.940594,3.960396,7.920792,0.000000,23.762376,3.960396,
56.994819,74.265976,15.544041,12.089810,10.362694,17.271157,17.271157,15.544041,53.540587,18.998273,
56.506849,104.452055,17.123288,3.424658,8.561644,5.136986,22.260274,6.849315,99.315068,22.260274,
44.368601,97.269625,25.597270,6.825939,13.651877,8.532423,20.477816,10.238908,87.030717,10.238908,
54.711246,100.303951,18.237082,6.079027,9.118541,13.677812,9.118541,9.118541,51.671733,15.197568,
54.435484,173.387097,12.096774,2.016129,6.048387,0.000000,20.161290,6.048387,80.645161,2.016129,
36.303630,143.564356,4.950495,3.300330,3.300330,1.650165,8.250825,16.501650,51.155116,3.300330,
24.253731,100.746269,3.731343,5.597015,5.597015,5.597015,9.328358,16.791045,44.776119,26.119403,
37.199125,85.339168,13.129103,10.940919,13.129103,4.376368,21.881838,15.317287,72.210066,13.129103,
70.957096,113.861386,8.250825,1.650165,9.900990,16.501650,21.452145,11.551155,69.306931,18.151815,
29.723992,91.295117,8.492569,4.246285,8.492569,4.246285,19.108280,14.861996,53.078556,16.985138,
24.271845,75.242718,12.135922,4.854369,9.708738,4.854369,21.844660,16.990291,31.553398,14.563107,
29.455081,85.419735,2.945508,11.782032,10.309278,16.200295,20.618557,5.891016,13.254786,14.727541,
18.454441,87.658593,4.613610,11.534025,5.767013,5.767013,10.380623,14.994233,53.056517,11.534025,
27.075812,83.032491,11.732852,6.317690,7.220217,9.927798,21.660650,17.148014,57.761733,11.732852,
28.112450,80.321285,4.016064,14.056225,6.024096,4.016064,16.064257,14.056225,18.072289,16.064257,
41.290323,82.580645,14.193548,10.322581,7.741935,11.612903,19.354839,10.322581,36.129032,18.064516,
31.796502,111.287758,11.128776,11.128776,4.769475,3.179650,14.308426,12.718601,49.284579,7.949126,
74.211503,53.803340,18.552876,14.842301,20.408163,7.421150,29.684601,11.131725,51.948052,20.408163,
25.881057,95.814978,6.057269,7.709251,3.303965,4.405286,8.259912,24.229075,52.312775,13.215859,
42.492918,121.813031,9.915014,2.832861,4.249292,1.416431,9.915014,16.997167,50.991501,7.082153,
37.120360,96.737908,11.248594,15.748031,11.248594,10.123735,17.997750,13.498313,40.494938,11.248594,
28.526149,91.917591,9.508716,4.754358,0.792393,3.961965,3.169572,21.394612,19.017433,15.055468,
48.309179,99.838969,9.661836,8.051530,1.610306,4.830918,12.882448,33.816425,53.140097,24.154589,
16.887817,100.120627,6.031363,13.268999,3.618818,9.650181,9.650181,19.300362,42.219542,14.475271,
11.741683,105.675147,4.892368,11.741683,7.827789,8.806262,16.634051,15.655577,37.181996,16.634051,
21.877205,85.391673,0.000000,9.880028,6.351447,11.997177,11.997177,16.231475,36.697248,17.642908,
30.226700,99.496222,7.556675,10.075567,2.518892,15.113350,3.778338,11.335013,45.340050,16.372796,
21.653543,114.173228,5.905512,5.905512,5.905512,17.716535,7.874016,15.748031,33.464567,11.811024,
31.645570,93.670886,10.126582,7.594937,6.329114,18.987342,13.924051,22.784810,39.240506,12.658228,
36.144578,105.421687,1.506024,1.506024,9.036145,10.542169,18.072289,19.578313,39.156627,16.566265,
95.857988,92.307692,9.467456,1.183432,11.834320,0.000000,23.668639,7.100592,81.656805,11.834320,
